# Plane point: [1,2946076151603483, 0,06646027842565552, -12,057551252186586]
# Plane normal: [0,0030784377773789558, 0,002745691373173158, 0,9999914921636756]
# Plane equation: 0,0030784377773789558x + 0,002745691373173158y + 0,9999914921636756z  + 12,053280820111535 = 0
-0,0041689385117411595
-0,003154715906454441
0,00010642798413584839
-0,0023179426118318243
-0,0014488520022979399
-0,002707159194184072
0,00013878473696316004
-0,0017921541834002848
-0,000240148743159807
-0,00014093181414942532
-0,0021256424568321104
0,0002642569148605389
-0,00017328548853967615
-0,0019039681052106512
-0,0005319961547893824
-0,0001844012981209175
-0,004037324061000546
-0,0007528336582822701
0,0011102656452308677
-0,0022510944166516107
0,0016431945905424068
0,001989761749781493
5,981732952697881e-05
0,0008529247353958878
0,0021475944244357943
-0,00042147083906307603
0,0009634113624166216
0,001667570214806346
0,0022360080663528232
0,0024606858577502773
0,0006836948113040363
-0,001502601510059875
-0,001146037514340392
-0,0005775996627921386
0,0010626371939945754
0,0014443377982527037
-0,0029329808844327223
0,00032599437009750426
0,0010291532309967264
-0,0009018188866907193
0,0023906762738530314
0,0022559497731169382
0,0006047164211029353
-0,000734291355914962
-0,0010509437928813978
-0,00044409248315169225
6,909848151437357e-06
0,00036450154130562845
-0,0015674763920028307
-1,5453146628985334e-05
0,00033112016948422246
-0,0007269194096171104
4,028198465988452e-05
0,002183097839287384
0,001176113516169863
0,0017018069250038788
0,0018678778733249852
0,0022164730542311157
0,0015456890840415123
0,0018922562432770458
-0,0004531336332611601
-0,0009213432487928939
0,0012214726058328294
-0,0003529136343214389
0,003396660605476497
0,0012538447508489978
0,0018232774352515686
-0,0005100283883390232
0,0016000869008792047
0,004319789347810853
-0,0002350533047508207
-0,0009280382739316193
0,008527419036408189
0,005190169891235995
0,00042271247545855306
0,005767971691344797
0,007865914788981241
0,003004786211810994
0,0004766668611289048
-0,0006167637718395013
0,0016610325927093324
0,00015990958345568626
0,005942604078640555
-0,0016717186329628926
-0,0013252276875928002
-0,00035283294299937035
0,0019625721542784187
0,002751980489037464
0,0008716211795132265
0,0010422505507605704
-0,0006632388462346482
-0,0023098806698325087
-4,475487475730232e-06
-0,0017144497487588946
-0,0013689615405709785
-0,0015832979811225552
-0,0009712632550762377
0,0013105382985418854
-0,001282529187347947
-0,0009260414054921282
-0,0006192812970482463
-0,001053948571261287
0,0015336130993084392
-0,0003070119621000344
-0,0016130350600054295
-0,00035745743699600036
-0,0032009961304630954
-0,0020999096658318446
-0,003152123638283654
-0,004134705822870898
